,profit
profit,1.0
id_full_h_std,0.8764587566727903
epex_spread,0.8559153071918062
epex_spot_60min_de_lu_eur_per_mwh_std,0.8544389643893906
epex_spot_delta_sum,0.8502150426971272
id_full_h_spread,0.8462912193153483
id_full_h_max,0.8410277563759578
epex_spot_delta_max,0.8295232510044064
exaa_15min_de_lu_eur_per_mwh_std,0.8153332257505217
exaa_15min_delta_sum,0.8035330835405707
exaa_15min_spread,0.8009399585101784
epex_spot_60min_de_lu_eur_per_mwh_max,0.7775997877993969
exaa_15min_de_lu_eur_per_mwh_max,0.7563640570319886
id_full_h_mean,0.7049243725537174
exaa_15min_de_lu_eur_per_mwh_mean,0.6931468096144611
epex_spot_60min_de_lu_eur_per_mwh_mean,0.684911207043153
exaa_15min_delta_max,0.6648066203559572
cycles,0.5290803409136655
exaa_15min_de_lu_eur_per_mwh_min,0.5267276389861715
year,0.48006537339436983
epex_spot_60min_de_lu_eur_per_mwh_min,0.474203100955963
id_full_h_min,0.4355265757046017
pv_delta_max,0.2911036657370004
pv_forecast_d_minus_1_1000_de_lu_mw_max,0.26389526920288436
pv_delta_sum,0.2638753247233661
pv_forecast_d_minus_1_1000_de_lu_mw_std,0.26181420241787956
pv_forecast_d_minus_1_1000_de_lu_mw_mean,0.24010870586099525
residual_load_delta_sum,0.2299128074522376
residual_load_std,0.22579900691704788
residual_load_delta_max,0.19120160813988862
residual_load_spread,0.18383828857318815
month,0.12221238634722474
wind_onshore_delta_max,0.09016581095548325
wind_onshore_delta_sum,0.05306338563720724
wind_onshore_forecast_d_minus_1_1000_de_lu_mw_std,0.031799343400979944
wind_offshore_delta_max,0.025131088447098635
residual_load_max,0.013879046602296718
load_forecast_d_minus_1_1000_total_de_lu_mw_min,-0.0015898527703822446
load_forecast_d_minus_1_1000_total_de_lu_mw_max,-0.0019226113076507318
wind_offshore_delta_sum,-0.002278017796446587
load_forecast_d_minus_1_1000_total_de_lu_mw_mean,-0.004687220967162645
load_forecast_d_minus_1_1000_total_de_lu_mw_std,-0.005717336293902279
wind_offshore_forecast_d_minus_1_1000_de_lu_mw_min,-0.010923586200435724
wind_offshore_forecast_d_minus_1_1000_de_lu_mw_std,-0.016035362850401146
wind_onshore_forecast_d_minus_1_1000_de_lu_mw_max,-0.01777581828641813
wind_offshore_forecast_d_minus_1_1000_de_lu_mw_max,-0.019521624577766444
wind_offshore_forecast_d_minus_1_1000_de_lu_mw_mean,-0.028252263899031668
wind_onshore_forecast_d_minus_1_1000_de_lu_mw_mean,-0.034893052821624214
wind_onshore_forecast_d_minus_1_1000_de_lu_mw_min,-0.04839873764867858
day_of_week,-0.0524652617684538
residual_load_mean,-0.05339703312684084
residual_load_min,-0.09664613988544805
pv_forecast_d_minus_1_1000_de_lu_mw_min,
